CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Purchase Frequency,Revenue,CLV,Date
1000,Male,25,27.5,23,20,280.82,792.38,2025-06-01
1001,Male,28,24.3,17,22,188.69,717.59,2025-10-25
1002,Male,58,28.2,15,28,135.22,426.18,2026-03-14
1003,Female,54,32.6,25,40,263.65,970.36,2025-10-20
1004,Female,31,23.8,28,49,215.02,723.85,2025-07-23
1005,Female,47,23.8,27,7,176.38,788.21,2026-03-31
1006,Female,52,32.9,13,1,282.11,789.66,2025-08-08
1007,Female,38,28.8,18,32,330.6,1133.7,2026-05-27
1008,Female,54,22.7,23,13,211.46,816.43,2025-08-29
1009,Female,22,27.7,28,30,273.27,899.34,2026-01-06
1010,Female,36,22.7,16,23,221.28,984.57,2025-12-09
1011,Male,31,22.7,19,19,209.03,824.37,2025-08-02
1012,Female,43,26.2,11,32,262.41,1000.82,2025-08-12
1013,Male,21,15.4,10,30,266.6,1070.18,2025-11-08
1014,Female,42,16.4,27,29,199.96,880.9,2025-11-16
1015,Female,62,22.2,31,49,270.69,1168.2,2025-08-28
1016,Male,59,19.9,19,45,302.95,1196.22,2025-11-23
1017,Female,42,26.6,28,29,308.93,1235.19,2026-02-24
1018,Female,35,20.5,23,30,288.72,806.07,2025-08-12
1019,Male,57,17.9,15,16,295.02,798.2,2026-01-31
1020,Male,25,32.3,23,40,341.75,1244.57,2025-08-16
1021,Female,56,23.9,32,19,328.55,833.43,2025-11-06
1022,Female,57,25.3,20,18,257.2,891.11,2026-04-20
1023,Female,31,17.9,33,1,239.0,698.06,2025-09-06
1024,Female,49,22.3,1,14,207.4,662.03,2025-09-10
1025,Female,68,25.6,27,47,241.19,977.21,2025-10-10
1026,Female,55,19.2,21,2,142.21,623.21,2025-09-10
1027,Female,50,26.9,18,28,233.35,617.18,2025-06-19
1028,Female,40,22.0,21,49,263.48,940.24,2025-08-21
1029,Male,32,23.5,4,30,180.29,768.94,2026-03-06
1030,Male,50,22.0,18,38,230.48,614.23,2026-05-05
1031,Male,42,34.3,23,4,270.61,1122.76,2026-05-31
1032,Female,34,24.9,32,1,347.19,1116.41,2026-04-27
1033,Female,50,19.7,16,8,213.28,670.59,2025-10-07
1034,Female,64,29.1,14,29,307.23,1368.68,2026-05-10
1035,Male,19,18.9,16,39,94.58,274.45,2026-04-06
1036,Male,31,26.0,27,3,338.55,1315.75,2025-08-28
1037,Male,57,15.2,23,32,299.27,1239.85,2025-12-30
1038,Male,57,18.4,16,10,274.05,707.7,2025-10-21
1039,Female,68,26.0,24,10,162.04,622.37,2025-08-04
1040,Male,56,28.7,21,19,310.56,1367.41,2025-08-15
1041,Male,68,25.9,28,46,269.24,740.0,2025-12-16
1042,Female,23,24.4,14,34,108.66,466.42,2025-10-21
1043,Male,23,23.5,17,33,305.74,1128.04,2026-04-12
1044,Female,20,17.6,17,23,301.9,1127.06,2025-09-01
1045,Female,24,21.4,8,28,122.52,456.49,2026-04-01
1046,Male,68,22.7,22,32,259.54,803.97,2026-01-10
1047,Female,25,30.3,22,7,336.33,1469.88,2026-03-18
1048,Female,59,26.7,20,29,315.05,1384.57,2025-09-10
1049,Female,69,16.2,18,8,271.14,1016.92,2026-02-22
1050,Male,32,17.9,77,1,205.65,836.36,2026-05-21
1051,Female,64,22.9,78,3,414.55,1543.99,2025-09-18
1052,Female,46,23.3,70,24,351.07,1217.81,2026-04-26
1053,Male,50,21.0,77,23,411.11,1571.1,2026-02-20
1054,Female,69,24.2,77,8,399.93,1442.16,2025-06-03
1055,Female,47,27.0,69,47,386.22,1427.05,2025-08-24
1056,Female,56,34.4,90,37,541.67,2203.33,2026-03-09
1057,Male,44,25.9,79,3,395.26,1368.31,2026-04-24
1058,Female,53,26.3,65,33,370.89,957.46,2026-03-31
1059,Male,46,24.6,80,28,369.88,1046.03,2025-09-25
1060,Male,55,15.4,67,47,223.26,754.01,2026-01-07
1061,Male,50,24.9,81,8,430.56,1700.55,2025-11-01
1062,Male,54,25.3,84,34,372.91,1374.75,2025-10-31
1063,Male,44,37.3,68,35,445.33,1692.52,2025-06-12
1064,Male,50,24.0,83,32,413.16,1428.94,2025-10-11
1065,Female,21,26.5,78,24,303.3,1131.76,2026-03-31
1066,Male,39,24.8,82,14,309.46,977.28,2026-03-20
1067,Male,19,19.2,90,32,357.76,1230.81,2026-03-27
1068,Female,27,30.7,73,46,447.05,1783.1,2026-01-14
1069,Female,22,28.8,69,43,435.56,1848.36,2026-02-26
1070,Female,27,29.0,68,16,316.99,1067.41,2025-07-13
1071,Male,50,20.5,68,4,371.88,962.18,2026-05-09
1072,Male,55,32.0,74,37,425.88,1202.4,2026-04-22
1073,Male,30,18.0,78,21,295.68,751.54,2026-03-29
1074,Male,48,27.9,77,14,383.26,1458.9,2026-05-30
1075,Male,64,36.0,82,31,533.53,1688.41,2025-06-21
1076,Male,53,20.0,75,48,364.26,1305.87,2025-09-15
1077,Male,62,22.2,87,18,394.56,1375.65,2026-05-02
1078,Male,41,25.5,73,7,398.01,1059.93,2026-03-30
1079,Female,69,22.5,97,10,463.95,1534.06,2025-09-25
1080,Male,32,17.2,80,7,333.13,979.77,2025-10-02
1081,Male,46,25.3,68,33,375.41,1252.66,2026-03-08
